product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
valkey,hash,65536,1024,64,64,HSET,5120,509761.17,9.471,38.399,69.631,4107158,11.591478771999391,8,7.957,526.359423828125
lavik,hash,1048576,128,8192,64,HGET,80,354796.13,0.223,0.415,0.535,2838550,9.382171034001658,8,5.171,61.48626953125
redis,hash,1048576,128,8192,64,HGET,80,460321.86,0.167,0.335,0.423,3683960,9.283785744999477,8,6.59,79.7741015625
valkey,hash,1048576,128,8192,64,HGET,80,546409.25,0.135,0.295,0.479,4371427,9.283282241998677,8,7.491,94.69306640625
lavik,hash,1048576,128,8192,64,HGET,320,502460.34,0.567,1.903,2.863,4025152,9.333501375000196,8,7.277,87.076552734375
redis,hash,1048576,128,8192,64,HGET,320,762983.37,0.391,0.991,1.687,6105663,9.334871171999112,8,10.19,132.225283203125
valkey,hash,1048576,128,8192,64,HGET,320,741258.32,0.391,1.079,2.447,5934245,9.334566759000154,8,9.502,128.460302734375
lavik,hash,1048576,128,8192,64,HGET,1280,383104.86,0.335,26.623,29.567,3073448,10.586082526002428,8,5.223,66.392294921875
redis,hash,1048576,128,8192,64,HGET,1280,933791.67,1.143,4.735,10.687,7484414,9.588021023999318,8,13.073,161.826494140625
valkey,hash,1048576,128,8192,64,HGET,1280,823170.08,1.351,4.415,11.967,6594888,9.585973632001696,8,11.316,142.6558203125
lavik,hash,1048576,128,8192,64,HGET,2560,338798.2,0.327,59.391,68.607,2730371,9.935358443999576,8,5.513,58.713818359375
redis,hash,1048576,128,8192,64,HGET,2560,1001626.32,2.415,6.367,22.655,8043445,9.938689301998238,8,14.878,173.5823828125
valkey,hash,1048576,128,8192,64,HGET,2560,837629.39,2.799,6.463,25.471,6725669,9.937814343000355,8,12.364,145.1616015625
lavik,hash,1048576,128,8192,64,HGET,5120,315854.0,0.367,126.975,137.215,2548547,10.636998853999103,8,5.792,54.737607421875
redis,hash,1048576,128,8192,64,HGET,5120,847886.31,5.343,17.279,54.015,6830868,10.593841490997875,8,13.855,146.9389453125
valkey,hash,1048576,128,8192,64,HGET,5120,669556.71,7.199,27.775,64.255,5395985,10.590101421003055,8,10.881,116.03443359375
lavik,hash,1048576,128,8192,64,HGETALL,16,878.75,22.143,30.591,37.375,7036,9.382792743999744,8,1.613,1036.68029296875
